Path,Size,Size (bytes),Modified
/media/Downloads/qbittorrent/complete/cross-seed/AnimeZ/Solo.Leveling.S02.BluRay.1080p.FLAC.2.0.AVC.HYBRID.REMUX-FraMeSToR/Solo.Leveling.S02E08.Looking.Up.Was.Tiring.Me.Out.1080p.FLAC.2.0.AVC.HYBRID.REMUX-FraMeSToR.mkv,6.6 GiB,7091549051,2026-03-22T10:03:28.458480304-07:00
/media/Downloads/qbittorrent/complete/cross-seed/TorrentLeech/Solo.Leveling.S02.BluRay.1080p.FLAC.2.0.AVC.HYBRID.REMUX-FraMeSToR/Solo.Leveling.S02E08.Looking.Up.Was.Tiring.Me.Out.1080p.FLAC.2.0.AVC.HYBRID.REMUX-FraMeSToR.mkv,6.6 GiB,7091549051,2026-03-22T10:03:28.458480304-07:00
/media/Downloads/qbittorrent/complete/cross-seed/AnimeZ/Solo.Leveling.S02.BluRay.1080p.FLAC.2.0.AVC.HYBRID.REMUX-FraMeSToR/Solo.Leveling.S02E11.It's.Going.to.Get.Even.More.Intense.1080p.FLAC.2.0.AVC.HYBRID.REMUX-FraMeSToR.mkv,6.6 GiB,7088881656,2026-03-22T10:09:29.596799473-07:00
/media/Downloads/qbittorrent/complete/cross-seed/TorrentLeech/Solo.Leveling.S02.BluRay.1080p.FLAC.2.0.AVC.HYBRID.REMUX-FraMeSToR/Solo.Leveling.S02E11.It's.Going.to.Get.Even.More.Intense.1080p.FLAC.2.0.AVC.HYBRID.REMUX-FraMeSToR.mkv,6.6 GiB,7088881656,2026-03-22T10:09:29.596799473-07:00
/media/Downloads/qbittorrent/complete/cross-seed/AnimeZ/Solo.Leveling.S02.BluRay.1080p.FLAC.2.0.AVC.HYBRID.REMUX-FraMeSToR/Solo.Leveling.S02E05.This.is.What.We're.Trained.to.Do.1080p.FLAC.2.0.AVC.HYBRID.REMUX-FraMeSToR.mkv,6.59 GiB,7078082629,2026-03-22T09:59:00.711726522-07:00
/media/Downloads/qbittorrent/complete/cross-seed/TorrentLeech/Solo.Leveling.S02.BluRay.1080p.FLAC.2.0.AVC.HYBRID.REMUX-FraMeSToR/Solo.Leveling.S02E05.This.is.What.We're.Trained.to.Do.1080p.FLAC.2.0.AVC.HYBRID.REMUX-FraMeSToR.mkv,6.59 GiB,7078082629,2026-03-22T09:59:00.711726522-07:00
/media/Downloads/qbittorrent/complete/cross-seed/AnimeZ/Solo.Leveling.S02.BluRay.1080p.FLAC.2.0.AVC.HYBRID.REMUX-FraMeSToR/Solo.Leveling.S02E04.I.Need.to.Stop.Faking.1080p.FLAC.2.0.AVC.HYBRID.REMUX-FraMeSToR.mkv,6.59 GiB,7073315580,2026-03-22T09:54:56.864860197-07:00
/media/Downloads/qbittorrent/complete/cross-seed/TorrentLeech/Solo.Leveling.S02.BluRay.1080p.FLAC.2.0.AVC.HYBRID.REMUX-FraMeSToR/Solo.Leveling.S02E04.I.Need.to.Stop.Faking.1080p.FLAC.2.0.AVC.HYBRID.REMUX-FraMeSToR.mkv,6.59 GiB,7073315580,2026-03-22T09:54:56.864860197-07:00
/media/Downloads/qbittorrent/complete/cross-seed/AnimeZ/Solo.Leveling.S02.BluRay.1080p.FLAC.2.0.AVC.HYBRID.REMUX-FraMeSToR/Solo.Leveling.S02E07.The.10th.S-Rank.Hunter.1080p.FLAC.2.0.AVC.HYBRID.REMUX-FraMeSToR.mkv,6.58 GiB,7066190703,2026-03-22T10:01:27.123045036-07:00
/media/Downloads/qbittorrent/complete/cross-seed/TorrentLeech/Solo.Leveling.S02.BluRay.1080p.FLAC.2.0.AVC.HYBRID.REMUX-FraMeSToR/Solo.Leveling.S02E07.The.10th.S-Rank.Hunter.1080p.FLAC.2.0.AVC.HYBRID.REMUX-FraMeSToR.mkv,6.58 GiB,7066190703,2026-03-22T10:01:27.123045036-07:00
